method,smote,Accuracy,Balanced_Accuracy,AUC,Precision,Recall,Specificity,F1
XGBoost,No SMOTE,0.9707262569832402,0.9467543571566085,0.9754846632868898,0.7828947368421053,0.9177377892030848,0.9757709251101322,0.8449704142011835
BART,No SMOTE,0.9787709497206704,0.9174332821207786,0.9746120365861485,0.9060773480662984,0.8431876606683805,0.9916789035731767,0.8735019973368842
Random Forest,No SMOTE,0.9792178770949721,0.9188409982295808,0.9691202136079433,0.9088397790055248,0.8457583547557841,0.9919236417033774,0.8761651131824235
Bagging,No SMOTE,0.9798882681564246,0.9226970393606861,0.9668329501828931,0.9095890410958904,0.8534704370179949,0.9919236417033774,0.8806366047745359
CART,No SMOTE,0.9794413407821229,0.9189633672946811,0.9387862121206402,0.9113573407202216,0.8457583547557841,0.9921683798335781,0.8773333333333333
XGBoost,With SMOTE,0.9796648044692737,0.9214116923169844,0.9751282515882813,0.9093406593406593,0.8508997429305912,0.9919236417033774,0.8791500664010623
BART,With SMOTE,0.9787709497206704,0.9174332821207786,0.9746120365861485,0.9060773480662984,0.8431876606683805,0.9916789035731767,0.8735019973368842
Random Forest,With SMOTE,0.9792178770949721,0.9188409982295808,0.9691202136079433,0.9088397790055248,0.8457583547557841,0.9919236417033774,0.8761651131824235
Bagging,With SMOTE,0.9798882681564246,0.9226970393606861,0.9668329501828931,0.9095890410958904,0.8534704370179949,0.9919236417033774,0.8806366047745359
CART,With SMOTE,0.9794413407821229,0.9189633672946811,0.9387862121206402,0.9113573407202216,0.8457583547557841,0.9921683798335781,0.8773333333333333
