variable,Lasso,Knockoff_FDR10,Stability_Selection
entropy_atomic_mass,1,0,0
entropy_density,1,0,0
entropy_electron_affinity,1,0,0
entropy_fie,1,0,0
entropy_fusion_heat,1,0,0
entropy_thermal_conductivity,1,0,0
entropy_valence,1,0,0
gmean_atomic_mass,1,0,0
gmean_atomic_radius,1,0,0
gmean_density,1,0,0
gmean_electron_affinity,1,0,1
gmean_fie,1,0,0
gmean_fusion_heat,1,0,0
gmean_thermal_conductivity,1,0,0
gmean_valence,1,0,0
mean_atomic_mass,1,0,0
mean_atomic_radius,1,0,0
mean_density,1,0,0
mean_electron_affinity,1,0,0
mean_fie,1,0,0
mean_fusion_heat,1,0,0
mean_thermal_conductivity,1,0,0
mean_valence,1,0,0
number_of_elements,1,0,0
range_atomic_mass,1,0,1
range_atomic_radius,1,0,1
range_density,1,0,0
range_electron_affinity,1,0,0
range_fie,1,0,0
range_fusion_heat,1,0,0
range_valence,1,0,0
std_atomic_mass,1,0,0
std_atomic_radius,1,0,0
std_density,1,0,0
std_electron_affinity,1,0,0
std_fie,1,0,0
std_fusion_heat,1,0,0
std_thermal_conductivity,1,0,0
std_valence,1,0,0
wtd_entropy_atomic_mass,1,0,1
wtd_entropy_atomic_radius,1,0,0
wtd_entropy_density,1,0,0
wtd_entropy_electron_affinity,1,0,0
wtd_entropy_fie,1,0,0
wtd_entropy_fusion_heat,1,0,0
wtd_entropy_thermal_conductivity,1,0,0
wtd_entropy_valence,1,0,0
wtd_gmean_atomic_mass,1,0,0
wtd_gmean_atomic_radius,1,0,0
wtd_gmean_density,1,0,0
wtd_gmean_electron_affinity,1,0,0
wtd_gmean_fusion_heat,1,0,0
wtd_gmean_thermal_conductivity,1,0,0
wtd_gmean_valence,1,0,0
wtd_mean_atomic_mass,1,0,0
wtd_mean_atomic_radius,1,0,0
wtd_mean_density,1,0,0
wtd_mean_electron_affinity,1,0,0
wtd_mean_fie,1,0,0
wtd_mean_fusion_heat,1,0,0
wtd_mean_thermal_conductivity,1,0,0
wtd_mean_valence,1,0,1
wtd_range_atomic_mass,1,0,0
wtd_range_atomic_radius,1,0,0
wtd_range_density,1,0,0
wtd_range_electron_affinity,1,0,0
wtd_range_fie,1,0,0
wtd_range_fusion_heat,1,0,0
wtd_range_thermal_conductivity,1,0,0
wtd_range_valence,1,0,0
wtd_std_atomic_mass,1,0,0
wtd_std_atomic_radius,1,0,0
wtd_std_density,1,0,0
wtd_std_electron_affinity,1,0,0
wtd_std_fie,1,0,0
wtd_std_fusion_heat,1,0,0
wtd_std_thermal_conductivity,1,0,1
wtd_std_valence,1,0,1
